TimeStamp,Cumulative Return
2020-07-09 09:50:00,-0.0024650001580128755
2020-07-09 10:00:00,-0.0010112821161077923
2020-07-09 10:10:00,-0.0009164744177228012
2020-07-09 10:20:00,-0.005088013146667514
2020-07-09 10:30:00,-0.004045128464431391
2020-07-09 10:40:00,-0.006984167114369666
2020-07-09 10:50:00,-0.010492051954618664
2020-07-09 11:00:00,-0.014442372720664842
2020-07-09 11:10:00,-0.012720032866668896
2020-07-09 11:20:00,-0.01791865499478562
2020-07-09 11:30:00,-0.015106026609360779
2020-07-09 11:40:00,-0.01381032139809757
2020-07-09 11:50:00,-0.014347565022279851
2020-07-09 12:00:00,-0.013335966880510641
2020-07-09 12:10:00,-0.010097019878014035
2020-07-09 12:20:00,-0.009986410896564935
2020-07-09 12:30:00,-0.010839680182030853
2020-07-09 12:40:00,-0.011013494295736836
2020-07-09 12:50:00,-0.009464968555446762
2020-07-09 13:00:00,-0.00938596214012588
2020-07-09 13:10:00,-0.007805833833707365
2020-07-09 13:20:00,-0.0073001927756534135
2020-07-09 13:30:00,-0.007647821003065491
2020-07-09 13:40:00,-0.007711026135322152
2020-07-09 13:50:00,-0.008753910817558275
2020-07-09 14:00:00,-0.009733590367537848
2020-07-09 14:10:00,-0.007837436399835696
2020-07-09 14:20:00,-0.005830673450684332
2020-07-09 14:30:00,-0.005909679866005102
2020-07-09 14:40:00,-0.006510128622444156
2020-07-09 14:50:00,-0.006036090130518645
2020-07-09 15:00:00,-0.004866795183768979
2020-07-09 15:10:00,-0.004582372088613562
2020-07-09 15:20:00,-0.0044717631071643504
2020-07-09 15:30:00,-0.00799544923047757
2020-07-09 15:40:00,-0.008121859494991002
2020-07-09 15:50:00,-0.0057832696014915586
2020-07-09 16:00:00,-0.006383718357930612
2020-07-10 09:40:00,-0.00582372088613603
2020-07-10 09:50:00,-0.0056884619031065675
2020-07-10 10:00:00,-0.007805833833707365
2020-07-10 10:10:00,-0.009227949309484007
2020-07-10 10:20:00,-0.007236987643396753
2020-07-10 10:30:00,-0.0055936542047213544
2020-07-10 10:40:00,-0.00496160288215397
2020-07-10 10:50:00,-0.004392756691843358
2020-07-10 11:00:00,-0.004297948993458367
2020-07-10 11:10:00,-0.004203141295073154
2020-07-10 11:20:00,-0.003808109218468525
2020-07-10 11:30:00,-0.0034920835571848885
2020-07-10 11:40:00,-0.0030022437821950465
2020-07-10 11:50:00,-0.002401795025756104
2020-07-10 12:00:00,-0.00180134626931705
2020-07-10 12:10:00,-0.0013589103435198702
2020-07-10 12:20:00,-0.002591410422526308
2020-07-10 12:30:00,-0.003821382296242515
2020-07-10 12:40:00,-0.0038207502449199016
2020-07-10 12:50:00,-0.0024928104162057485
2020-07-10 13:00:00,-0.0019277565338305935
2020-07-10 13:10:00,-0.001706538570932059
2020-07-10 13:20:00,-0.0022026988591473673
2020-07-10 13:30:00,-0.0014537180419049722
2020-07-10 13:40:00,-0.0012957052112632095
2020-07-10 13:50:00,0.00012641026451354342
2020-07-10 14:00:00,0.0003476282274121889
2020-07-10 14:10:00,0.0002528205290268648
2020-07-10 14:20:00,-0.00022121796289853446
2020-07-10 14:30:00,-9.480769838521308e-05
2020-07-10 14:40:00,0.0010428846822361226
2020-07-10 14:50:00,0.0013431090604556495
2020-07-10 15:00:00,0.0013905129096483115
2020-07-10 15:10:00,0.001169294946749666
2020-07-10 15:20:00,0.0028126283854248424
2020-07-10 15:30:00,0.002781025819296623
2020-07-10 15:40:00,0.003033846348323488
2020-07-10 15:50:00,0.004139936162816493
2020-07-10 16:00:00,0.0038239105015327457
2020-07-13 09:40:00,0.010902885314287403
2020-07-13 09:50:00,0.011092500711057607
