FunctionalFunctional_MAE,FTSA_MAE,TSA_MAE,FunctionalFunctional_MSE,FTSA_MSE,TSA_MSE
55.00370117,41.33066276,25.63301442,3348.437237,2046.573325,903.5754194
20.99442251,20.14139442,43.03741129,686.8913103,637.1257485,2193.539156
18.89212087,18.76300842,67.07123169,495.8840623,527.6463226,4786.897733
15.94486533,22.89011418,84.63821365,414.8938775,620.474938,7267.140156
17.56693763,16.34659339,86.41158773,452.5857138,351.2573514,7611.609747
69.01048819,66.4086974,145.3708177,5402.195782,5113.409135,22010.54773
71.39082987,60.0845216,151.3405256,6704.479052,4483.501433,23845.46679
39.22619698,24.95193634,107.8104999,2194.857412,850.7227872,12497.65804
